N_comp_rpm,N_pump_rpm,T_cool_in_C,Q_evap_plant_W,Q_hx_potential_W,Q_ref_max_W,limit_type
4000.0,4000.0,25.0,2264.672514621738,2264.672514621738,2427.854622824593,Q_hx
4000.0,4000.0,27.5,2476.863207711834,2476.863207711834,2601.916264421942,Q_hx
4000.0,4000.0,30.0,2692.0701483373573,2692.0701483373573,2785.3289653832408,Q_hx
4000.0,4000.0,32.5,2912.37732310976,2912.37732310976,2977.9989043006376,Q_hx
4000.0,4000.0,35.0,3136.737934609016,3136.737934609016,3180.0941123777775,Q_hx
4000.0,4800.0,15.0,1820.1567863543273,1876.8893630120842,1820.1567863543273,Q_ref_max
4000.0,4800.0,17.5,1789.3667546794284,1789.3667546794284,1986.995498107544,Q_hx
4000.0,4800.0,20.0,1803.1498903907666,1803.1498903907666,2157.0577474700913,Q_hx
4000.0,4800.0,22.5,1840.8421196136844,1840.8421196136844,2336.295965412447,Q_hx
4000.0,4800.0,25.0,2066.930324891714,2066.930324891714,2510.1264989927267,Q_hx
4000.0,4800.0,27.5,2298.036855407761,2298.036855407761,2693.5637834382624,Q_hx
4000.0,4800.0,30.0,2524.421056659578,2524.421056659578,2887.720503852517,Q_hx
4000.0,4800.0,32.5,2762.723337476662,2762.723337476662,3091.350814277619,Q_hx
4000.0,4800.0,35.0,3007.617467092426,3007.617467092426,3305.0129248068715,Q_hx
5000.0,1600.0,15.0,1866.7755289288953,1866.7755289288953,1891.2862911386064,Q_hx
5000.0,1600.0,17.5,2008.991631290246,2008.991631290246,2022.5773780571471,Q_hx
5000.0,1600.0,20.0,2144.5605085645666,2144.5605085645666,2161.70953886041,Q_hx
5000.0,1600.0,22.5,2283.636324938175,2283.636324938175,2306.8430878359586,Q_hx
5000.0,1600.0,25.0,2426.8620713389646,2426.8620713389646,2457.9441745377476,Q_hx
5000.0,1600.0,27.5,2573.7020069652863,2573.7020069652863,2615.2164692134093,Q_hx
5000.0,1600.0,30.0,2722.058144747234,2722.058144747234,2779.400111853719,Q_hx
5000.0,1600.0,32.5,2870.359208112028,2870.359208112028,2951.143849047655,Q_hx
5000.0,1600.0,35.0,3017.6460525805064,3017.6460525805064,3131.050410882287,Q_hx
5000.0,2400.0,15.0,2047.3445198166066,2047.3445198166066,2052.9255806300644,Q_hx
5000.0,2400.0,17.5,2198.5126682432738,2198.5126682432738,2207.806778950935,Q_hx
5000.0,2400.0,20.0,2363.933350052388,2363.933350052388,2367.7040544938327,Q_hx
5000.0,2400.0,22.5,2534.7146879004054,2535.1228059426617,2534.7146879004054,Q_ref_max
5000.0,2400.0,25.0,2708.91971552609,2712.7507959366344,2708.91971552609,Q_ref_max
5000.0,2400.0,27.5,2890.6753107911836,2896.67690594645,2890.6753107911836,Q_ref_max
5000.0,2400.0,30.0,3080.094112290799,3086.806578071553,3080.094112290799,Q_ref_max
5000.0,2400.0,32.5,3277.285405380233,3283.059369249745,3277.285405380233,Q_ref_max
5000.0,2400.0,35.0,3482.351601382773,3485.363992886514,3482.351601382773,Q_ref_max
5000.0,3200.0,15.0,2134.5762148076547,2176.7852447331447,2134.5762148076547,Q_ref_max
5000.0,3200.0,17.5,2257.763835020147,2257.763835020147,2313.2444708510993,Q_hx
5000.0,3200.0,20.0,2448.0298857173116,2448.0298857173116,2483.9524609665705,Q_hx
5000.0,3200.0,22.5,2642.192109368491,2642.192109368491,2663.9495762019274,Q_hx
5000.0,3200.0,25.0,2842.0271229456334,2842.0271229456334,2852.546631930629,Q_hx
5000.0,3200.0,27.5,3049.541103057664,3050.0976371979145,3049.541103057664,Q_ref_max
5000.0,3200.0,30.0,3255.342043496793,3266.321153897133,3255.342043496793,Q_ref_max
5000.0,3200.0,32.5,3470.0702323162695,3490.5808375717174,3470.0702323162695,Q_ref_max
5000.0,3200.0,35.0,3694.3178384238327,3718.812920813477,3694.3178384238327,Q_ref_max
5000.0,4000.0,15.0,2185.2921145028304,2312.973033951119,2185.2921145028304,Q_ref_max
5000.0,4000.0,17.5,2217.885770359582,2217.885770359582,2390.7099770126324,Q_hx
5000.0,4000.0,20.0,2435.9372385845427,2435.9372385845427,2568.9466358797245,Q_hx
5000.0,4000.0,22.5,2650.3512207051836,2650.3512207051836,2757.7485824364167,Q_hx
5000.0,4000.0,25.0,2867.3595005829748,2867.3595005829748,2956.7623063095975,Q_hx
5000.0,4000.0,27.5,3088.3249178194687,3088.3249178194687,3165.8631732162526,Q_hx
5000.0,4000.0,30.0,3313.7938565237123,3313.7938565237123,3385.291665617934,Q_hx
5000.0,4000.0,32.5,3543.1413688492366,3543.1413688492366,3615.5336146350082,Q_hx
5000.0,4000.0,35.0,3781.195751076038,3781.195751076038,3855.7769972058486,Q_hx
5000.0,4800.0,15.0,2232.449897285059,2510.476497865692,2232.449897285059,Q_ref_max
5000.0,4800.0,17.5,2014.1740720349994,2014.1740720349994,2474.4690240938735,Q_hx
5000.0,4800.0,20.0,2226.1778480317644,2226.1778480317644,2664.9319956378095,Q_hx
5000.0,4800.0,22.5,2455.154509369828,2455.154509369828,2864.4358698590063,Q_hx
5000.0,4800.0,25.0,2696.7430794425636,2696.7430794425636,3074.3186407374606,Q_hx
5000.0,4800.0,27.5,2947.720823251927,2947.720823251927,3294.4577834748297,Q_hx
5000.0,4800.0,30.0,3203.094613652947,3203.094613652947,3525.799867768201,Q_hx
5000.0,4800.0,32.5,3463.2797389847765,3463.2797389847765,3768.4935490382436,Q_hx
5000.0,4800.0,35.0,3728.7858044661043,3728.7858044661043,4022.9969152095564,Q_hx
6000.0,1600.0,15.0,1965.0742653732475,1965.0742653732475,2262.859970903698,Q_hx
6000.0,1600.0,17.5,2308.589966613767,2308.589966613767,2352.8742629379035,Q_hx
6000.0,1600.0,20.0,2459.60170428408,2459.60170428408,2513.1543246464366,Q_hx
6000.0,1600.0,22.5,2614.4794533576746,2614.4794533576746,2679.5286866535007,Q_hx
6000.0,1600.0,25.0,2769.5787839554455,2769.5787839554455,2854.0220316312366,Q_hx
6000.0,1600.0,27.5,2923.1874804905824,2923.1874804905824,3037.359589866852,Q_hx
6000.0,1600.0,30.0,3075.5223620568963,3075.5223620568963,3230.0075111321567,Q_hx
6000.0,1600.0,32.5,3225.6673828659314,3225.6673828659314,3432.6873784896043,Q_hx
6000.0,1600.0,35.0,3372.8370314742333,3372.8370314742333,3646.1997687291446,Q_hx
6000.0,2400.0,15.0,2393.185998726722,2393.185998726722,2417.6978648439435,Q_hx
6000.0,2400.0,17.5,2578.7844574176993,2578.7844574176993,2594.0636005914043,Q_hx
6000.0,2400.0,20.0,2766.914086430319,2766.914086430319,2779.890130578163,Q_hx
6000.0,2400.0,22.5,2962.228839054813,2962.228839054813,2973.5802765319886,Q_hx
6000.0,2400.0,25.0,3162.98706725454,3162.98706725454,3175.7089430749866,Q_hx
6000.0,2400.0,27.5,3368.848818957859,3368.848818957859,3386.6482711172534,Q_hx
6000.0,2400.0,30.0,3581.169805454158,3581.169805454158,3606.3637836669586,Q_hx
6000.0,2400.0,32.5,3799.8116447379707,3799.8116447379707,3834.996735816235,Q_hx
6000.0,2400.0,35.0,4024.4927140462705,4024.4927140462705,4072.7217757735043,Q_hx
6000.0,3200.0,15.0,2534.3363513200748,2537.296205159401,2534.3363513200748,Q_ref_max
6000.0,3200.0,17.5,2701.730168364417,2701.730168364417,2733.0080700672984,Q_hx
6000.0,3200.0,20.0,2913.6437418764904,2913.6437418764904,2934.287241683491,Q_hx
6000.0,3200.0,22.5,3134.8227865194654,3134.8227865194654,3145.686653822781,Q_hx
6000.0,3200.0,25.0,3363.605559210886,3363.605559210886,3366.7698459552553,Q_hx
6000.0,3200.0,27.5,3597.9294236593005,3599.5482429771273,3597.9294236593005,Q_ref_max
6000.0,3200.0,30.0,3838.9095746913467,3844.064835200548,3838.9095746913467,Q_ref_max
6000.0,3200.0,32.5,4090.2093118088987,4097.011567802292,4090.2093118088987,Q_ref_max
6000.0,3200.0,35.0,4351.997801641551,4358.308062251707,4351.997801641551,Q_ref_max
6000.0,4000.0,15.0,2607.012132369359,2683.7171540689806,2607.012132369359,Q_ref_max
6000.0,4000.0,17.5,2730.0860381002303,2730.0860381002303,2833.9814472207863,Q_hx
6000.0,4000.0,20.0,2972.5462512774375,2972.5462512774375,3045.378192399291,Q_hx
6000.0,4000.0,22.5,3221.0028005808404,3221.0028005808404,3268.1593858933547,Q_hx
6000.0,4000.0,25.0,3474.1368591570204,3474.1368591570204,3502.6615354953274,Q_hx
6000.0,4000.0,27.5,3733.457205119224,3733.457205119224,3748.97328672565,Q_hx
6000.0,4000.0,30.0,4003.4606585021666,4003.4606585021666,4006.570894501104,Q_hx
6000.0,4000.0,32.5,4275.692947168124,4284.000554205302,4275.692947168124,Q_ref_max
6000.0,4000.0,35.0,4556.198306091321,4574.927715931957,4556.198306091321,Q_ref_max
6000.0,4800.0,15.0,2674.5911054931157,2899.0669508896535,2674.5911054931157,Q_ref_max
6000.0,4800.0,17.5,2607.587283513574,2607.587283513574,2944.4570489001,Q_hx
6000.0,4800.0,20.0,2900.3795039953134,2900.3795039953134,3165.862544753019,Q_hx
6000.0,4800.0,22.5,3192.3761337356923,3192.3761337356923,3400.2710716378633,Q_hx
6000.0,4800.0,25.0,3489.515866904074,3489.515866904074,3647.059873161261,Q_hx
6000.0,4800.0,27.5,3791.889972594462,3791.889972594462,3907.1209784995863,Q_hx
6000.0,4800.0,30.0,4101.567623397691,4101.567623397691,4180.367868946441,Q_hx
6000.0,4800.0,32.5,4415.378127235417,4415.378127235417,4467.672650397583,Q_hx
6000.0,4800.0,35.0,4723.151827216717,4723.151827216717,4770.46139153161,Q_hx
